domain_id,level,title,source_file,question_count,canonical_top,canonical_sub
statement3,middle,Statement3,Class 10 Module 1.zip/Statement3.tex,3,Uncategorized,Uncategorized
statements,middle,Statements,Class 10 Module 1.zip/Statements.tex,3,Uncategorized,Uncategorized
substitution,middle,Substitution,Class 10 Module 1.zip/Substitution.tex,3,Uncategorized,Uncategorized
surds,middle,Surds,Class 10 Module 1.zip/Surds.tex,3,Uncategorized,Uncategorized
tree,middle,Tree,Class 10 Module 1.zip/tree.tex,3,Uncategorized,Uncategorized
zeroes,middle,Zeroes,Class 10 Module 1.zip/Zeroes.tex,3,Uncategorized,Uncategorized
asa,middle,Asa,Lesson Plan.zip/ASA.tex,3,Uncategorized,Uncategorized
sss,middle,Sss,Lesson Plan.zip/SSS.tex,3,Uncategorized,Uncategorized
sas,middle,Sas,Lesson Plan.zip/SAS.tex,3,Uncategorized,Uncategorized
rhs,middle,Rhs,Lesson Plan.zip/RHS.tex,3,Uncategorized,Uncategorized
aas,middle,Aas,Lesson Plan.zip/AAS.tex,3,Uncategorized,Uncategorized
trigonometry-2,middle,Trigonometry 2,Lesson Plan.zip/Trigonometry_2.tex,3,Uncategorized,Uncategorized
trigonometry-1,middle,Trigonometry 1,Lesson Plan.zip/Trigonometry_1.tex,3,Uncategorized,Uncategorized
irrationals-2,middle,Irrationals 2,Lesson Plan.zip/Irrationals_2.tex,3,Number Sense & Arithmetic,Ratio & Proportion
irrationals-1,middle,Irrationals 1,Lesson Plan.zip/Irrationals_1.tex,3,Number Sense & Arithmetic,Ratio & Proportion
statistics-1,middle,Statistics 1,Class 11.zip/Statistics_1.tex,3,Uncategorized,Uncategorized
statistics-2,middle,Statistics 2,Class 11.zip/Statistics_2.tex,3,Uncategorized,Uncategorized
final-exam,middle,Final Exam,Class 11.zip/Final Exam.tex,3,Uncategorized,Uncategorized
test-1,middle,Test 1,Standard class 10 Final Prep.zip/Test_1.tex,3,Uncategorized,Uncategorized
acid-bases-and-salts-test,middle,Acid Bases And Salts Test,Science.zip/Acid Bases and Salts Test.tex,3,Uncategorized,Uncategorized
