domain_id,level,title,source_file,question_count,canonical_top,canonical_sub
class-6,senior,Class 6,Term 1 Papers 2025-26.zip/Class 6.tex,3,Uncategorized,Uncategorized
class-7,senior,Class 7,Term 1 Papers 2025-26.zip/Class 7.tex,3,Uncategorized,Uncategorized
class-8,senior,Class 8,Term 1 Papers 2025-26.zip/Class 8.tex,3,Uncategorized,Uncategorized
class-11-optional,senior,Class 11 Optional,Term 1 Papers 2025-26.zip/Class 11_Optional.tex,3,Uncategorized,Uncategorized
class-12-optional,senior,Class 12 Optional,Term 1 Papers 2025-26.zip/Class_12_Optional.tex,3,Uncategorized,Uncategorized
linear-equations-w1,senior,Linear Equations W1,Class 10 Ch 3.zip/Linear Equations W1.tex,3,Algebra,Linear Equations
polynomials-w1,senior,Polynomials W1,Class 10 Ch 2.zip/Polynomials W1.tex,3,Algebra,Polynomials
polynomials-w2,senior,Polynomials W2,Class 10 Ch 2.zip/Polynomials W2.tex,3,Algebra,Polynomials
polynomials-w3,senior,Polynomials W3,Class 10 Ch 2.zip/Polynomials W3.tex,3,Algebra,Polynomials
polynomials-w4,senior,Polynomials W4,Class 10 Ch 2.zip/Polynomials W4.tex,3,Algebra,Polynomials
class-4-science,senior,Class 4 Science,Shubhi.zip/Class 4 Science.tex,3,Uncategorized,Uncategorized
class-5-science,senior,Class 5 Science,Shubhi.zip/Class 5 Science.tex,3,Uncategorized,Uncategorized
class-5-maths,senior,Class 5 Maths,Shubhi.zip/Class 5 Maths.tex,3,Uncategorized,Uncategorized
class-3-maths,senior,Class 3 Maths,Shubhi.zip/Class 3 Maths.tex,3,Uncategorized,Uncategorized
